ApplicationID,CandidateID,DateID,TechnologyID,SeniorityID,CountryID,Code Challenge Score,Technical Interview Score,Hired
1,1,1,1,1,1,3,3,0
2,2,2,1,1,2,2,10,0
3,3,3,2,2,3,10,9,1
4,4,4,3,3,4,7,1,0
5,5,5,4,2,5,9,7,1
6,6,6,5,4,6,2,9,0
7,7,7,6,3,7,2,9,0
8,8,8,7,5,5,2,5,0
9,9,9,4,5,8,7,10,1
10,10,10,8,5,9,2,0,0
11,11,11,9,1,10,4,9,0
12,12,12,8,5,11,7,4,0
13,13,13,10,2,12,5,10,0
14,14,14,11,4,13,7,8,1
15,15,15,12,6,14,4,1,0
16,16,16,13,2,15,4,6,0
17,17,17,4,6,16,5,5,0
18,18,18,4,7,17,3,5,0
19,19,19,14,3,18,4,2,0
20,20,20,5,6,14,2,3,0
21,21,21,13,6,19,0,2,0
22,22,22,15,5,20,4,1,0
23,23,23,13,4,21,8,8,1
24,24,24,16,2,22,7,5,0
25,25,25,8,6,23,5,6,0
26,26,26,4,5,24,8,4,0
27,27,27,17,5,25,8,10,1
28,28,28,12,4,26,6,8,0
29,29,29,18,3,27,1,4,0
30,30,30,7,4,28,5,1,0
31,31,31,12,2,17,5,0,0
32,32,32,16,7,29,3,7,0
33,33,33,7,6,30,3,6,0
34,34,34,2,1,31,10,0,0
35,35,35,5,7,2,8,8,1
36,36,36,8,5,32,4,2,0
37,37,9,19,7,33,3,5,0
38,38,37,20,1,34,8,0,0
39,39,38,14,1,35,10,4,0
40,40,39,21,1,36,2,2,0
41,41,40,20,5,37,4,0,0
42,42,41,22,3,38,3,3,0
43,43,42,15,5,39,3,6,0
44,44,43,12,7,40,5,0,0
45,45,44,8,2,41,0,0,0
46,46,45,19,2,42,6,5,0
47,47,46,8,4,43,7,8,1
48,48,47,13,1,37,2,8,0
49,49,48,5,7,44,6,2,0
50,50,49,18,5,45,2,9,0
51,51,50,8,4,7,8,7,1
52,52,51,20,6,26,2,8,0
53,53,52,13,7,46,5,5,0
54,54,53,12,7,47,10,10,1
55,55,54,1,6,48,9,2,0
56,56,55,18,3,49,10,7,1
57,57,56,13,5,50,8,5,0
58,58,57,14,5,43,6,1,0
59,59,58,9,6,51,3,8,0
60,60,59,10,2,52,9,4,0
61,61,60,15,4,53,6,5,0
62,62,61,6,5,54,6,3,0
63,63,62,16,4,55,5,7,0
64,64,63,23,5,56,5,10,0
65,65,64,15,5,57,9,8,1
66,66,65,18,5,58,2,2,0
67,67,27,24,3,59,4,1,0
68,68,66,6,2,60,10,5,0
69,69,67,3,3,31,4,3,0
70,70,68,19,4,61,9,3,0
71,71,69,4,2,62,7,5,0
72,72,70,18,6,36,5,6,0
73,73,71,5,6,63,8,3,0
74,74,72,10,6,64,10,6,0
75,75,73,13,3,47,5,0,0
76,76,74,16,7,65,0,1,0
77,77,75,19,4,66,7,2,0
78,78,76,21,2,4,4,1,0
79,79,77,7,7,67,8,0,0
80,80,78,4,5,68,5,10,0
81,81,79,17,4,69,10,2,0
82,82,80,8,1,7,1,9,0
83,83,81,10,4,70,7,5,0
84,84,82,6,3,17,6,10,0
85,85,83,8,7,71,1,8,0
86,86,84,19,4,72,2,6,0
87,87,85,12,3,73,9,4,0
88,88,86,2,5,74,6,10,0
89,89,87,21,4,75,7,9,1
90,90,88,13,2,76,2,8,0
91,91,12,15,3,77,6,3,0
92,92,89,19,3,78,1,1,0
93,93,90,6,7,79,5,7,0
94,94,91,21,4,80,5,2,0
95,95,92,11,1,81,7,7,1
96,96,93,6,2,82,0,0,0
97,97,94,14,7,83,8,4,0
98,98,21,24,4,84,3,0,0
99,99,95,16,5,85,4,6,0
100,100,96,12,3,86,10,10,1
101,101,97,19,2,87,0,4,0
102,102,98,1,2,88,3,6,0
103,103,99,12,3,89,8,10,1
104,104,100,17,7,90,7,6,0
105,105,101,8,4,91,9,3,0
106,106,102,8,5,92,9,2,0
107,107,103,14,6,20,10,10,1
108,108,104,22,6,93,4,5,0
109,109,105,1,2,65,4,1,0
110,110,106,7,3,72,1,2,0
111,111,107,21,1,94,3,7,0
112,112,108,4,1,75,10,8,1
113,113,109,2,6,95,4,4,0
114,114,110,10,5,96,7,9,1
115,115,111,12,1,97,9,0,0
116,116,112,18,3,98,6,0,0
117,117,113,17,2,13,6,8,0
118,118,114,22,4,78,10,3,0
119,119,115,13,5,54,8,5,0
120,120,116,20,6,99,7,5,0
121,121,117,8,3,63,1,7,0
122,122,118,8,5,100,5,8,0
123,123,119,19,1,101,9,10,1
124,124,120,13,4,90,3,5,0
125,125,121,11,4,102,3,1,0
126,126,122,23,5,102,5,7,0
127,127,123,14,5,36,0,4,0
128,128,124,3,4,50,2,7,0
129,129,125,18,5,98,2,10,0
130,130,126,16,3,96,3,3,0
131,131,127,10,2,74,1,6,0
132,132,128,18,1,103,6,6,0
133,133,129,4,7,25,10,5,0
134,134,130,16,2,104,6,0,0
135,135,131,6,6,105,0,3,0
136,136,132,20,3,81,9,1,0
137,137,133,17,1,106,1,0,0
138,138,53,24,4,107,8,10,1
139,139,134,9,1,108,0,7,0
140,140,135,20,4,109,10,3,0
141,141,136,3,3,110,2,8,0
142,142,137,24,5,21,9,8,1
143,143,138,4,5,111,1,10,0
144,144,139,19,1,6,5,6,0
145,145,140,17,1,53,8,6,0
146,146,141,15,1,112,3,6,0
147,147,142,16,1,59,1,2,0
148,148,143,22,7,79,1,3,0
149,149,144,7,5,95,4,10,0
150,150,145,15,6,113,10,3,0
151,151,146,13,4,85,6,6,0
152,152,147,7,2,112,8,9,1
153,153,148,9,7,114,7,2,0
154,154,149,13,5,115,7,2,0
155,155,150,20,5,112,5,7,0
156,156,151,17,2,116,6,0,0
157,157,152,19,1,108,8,4,0
158,158,153,7,5,117,0,2,0
159,159,154,24,4,118,3,8,0
160,160,155,22,6,58,0,5,0
161,161,156,16,2,119,0,2,0
162,162,157,20,7,96,5,0,0
163,163,158,7,7,120,1,0,0
164,164,64,18,4,87,1,7,0
165,165,159,8,5,121,1,5,0
166,166,160,18,7,122,4,10,0
167,167,161,8,4,123,6,3,0
168,168,162,11,1,124,2,3,0
169,169,163,17,4,49,3,10,0
170,170,164,21,1,118,7,7,1
171,171,165,1,2,19,7,9,1
172,172,64,14,7,125,3,9,0
173,173,166,7,5,126,6,7,0
174,174,167,20,4,97,5,5,0
175,175,168,3,7,13,10,9,1
176,176,163,5,1,44,4,8,0
177,177,169,17,2,127,0,9,0
178,178,170,12,6,49,0,3,0
179,179,171,2,3,21,6,10,0
180,180,172,20,3,128,10,4,0
181,181,173,10,4,34,1,0,0
182,182,174,20,6,31,8,9,1
183,183,175,11,4,104,8,7,1
184,184,176,6,2,129,9,3,0
185,185,12,18,5,97,8,9,1
186,186,177,14,2,95,8,4,0
187,187,178,9,7,130,1,5,0
188,188,179,20,3,131,2,7,0
189,189,107,4,3,132,1,6,0
190,190,180,22,7,83,6,3,0
191,191,181,10,5,133,7,10,1
192,192,182,14,3,56,4,0,0
193,193,183,2,2,47,7,1,0
194,194,184,23,4,6,6,2,0
195,195,185,23,3,134,7,4,0
196,196,186,7,2,107,5,8,0
197,197,187,22,6,135,10,7,1
198,198,188,17,4,21,6,8,0
199,199,189,17,7,136,6,4,0
200,200,190,9,7,111,8,4,0
201,201,191,5,2,71,3,2,0
202,202,192,22,2,77,9,4,0
203,203,193,3,4,137,5,7,0
204,204,194,23,7,138,3,1,0
205,205,195,6,7,139,1,6,0
206,206,196,10,2,140,2,6,0
207,207,197,18,1,141,7,6,0
208,208,198,8,5,142,4,10,0
209,209,199,18,5,143,1,5,0
210,210,200,18,4,41,8,3,0
211,211,201,2,2,144,8,0,0
212,212,202,15,6,42,2,2,0
213,213,203,17,6,136,5,3,0
214,214,204,12,2,78,10,9,1
215,215,205,3,7,145,10,2,0
216,216,206,23,5,146,8,7,1
217,217,207,15,4,147,6,6,0
218,218,208,8,5,31,5,2,0
219,219,209,19,4,96,0,0,0
220,220,210,2,1,65,1,7,0
221,221,211,7,5,148,7,8,1
222,222,212,15,1,149,3,1,0
223,223,213,1,6,142,0,5,0
224,224,214,18,5,96,3,3,0
225,225,215,24,7,150,10,2,0
226,226,216,7,7,46,6,0,0
227,227,217,7,1,141,0,6,0
228,228,218,15,7,107,10,3,0
229,229,219,8,5,150,3,3,0
230,230,220,7,5,112,8,9,1
231,231,221,5,6,27,2,9,0
232,232,153,17,5,151,3,9,0
233,233,222,20,5,36,5,6,0
234,234,223,7,7,152,5,2,0
235,235,224,13,6,153,5,2,0
236,236,74,5,5,56,4,3,0
237,237,225,13,4,154,4,1,0
238,238,152,11,1,102,4,8,0
239,239,226,2,6,92,1,0,0
240,240,227,14,6,9,9,7,1
241,241,228,9,7,129,0,5,0
242,242,229,8,4,155,5,0,0
243,243,230,13,3,59,0,1,0
244,244,231,18,5,131,3,3,0
245,245,232,23,4,43,3,4,0
246,246,233,2,1,51,5,6,0
247,247,234,2,7,152,4,7,0
248,248,235,22,2,72,10,5,0
249,249,236,11,5,34,2,6,0
250,250,237,21,1,90,10,2,0
251,251,238,14,2,40,10,4,0
